Date,FIDLEUI LX Equity  (R2),DODGX US Equity  (L1),PRDGX US Equity  (R1),AGTHX US Equity  (L4),JACTX US Equity  (R3),FCNTX US Equity  (L2),AIVSX US Equity  (R4),FBGRX US Equity  (R1),SCHEUMA LX Equity  (R1),SISEEIA LX Equity  (R1),SCHEMAA LX Equity  (L3),SPXT Index  (R1),SXXR Index  (R1),EURIBOR 3 month,3 month - t bill
6/30/17,15.16,12.04,40.44,47.23,30.69,11.42,38.900002,80.44,258.201,89.6524,26.5846,4678.3599,767.72,-0.33,1.01
3/31/17,15.22,11.87,38.95,45.450001,30.38,10.77,38.139999,75.32,254.0549,88.7038,27.0342,4538.21,761.27,-0.3293,0.75
12/30/16,14.51,11.52,37.18,42.040001,27.45,9.85,36.23,67.36,238.7975,85.0999,26.76,4278.6602,717.21,-0.3158,0.5
9/30/16,13.44,10.79,37.16,44.080002,29.61,10.21,36.639999,70.22,228.9339,75.9253,23.3599,4121.0601,678.14,-0.3016,0.28
6/30/16,13.1,9.95,36.46,41.400002,28.14,9.7,35.450001,65.18,216.2904,71.0293,21.4003,3968.21,649.66,-0.2679,0.26
3/31/16,12.88,9.82,35.01,40.240002,27.65,9.67,34.25,65.78,222.31,72.67,20.75,3873.1101,654.57,-0.2285,0.21
12/31/15,13.77,10.17,34.34,41.290001,28.59,9.89,33.369999,68.97,235.26,78.18,19.78,3821.6001,705,-0.1263,0.16
9/30/15,13.11,10.14,34.04,41.73,30.76,9.72,33.860001,64.41,217.14,74.41,19.25,3570.1699,668.02,-0.037,-0.01
6/30/15,14.61,11.28,36.26,44.73,31.91,10.2,36.830002,72.44,242.78,78.71,21.75,3815.8501,729.46,-0.0139,0.01
3/31/15,15.13,11.03,36.54,44.119999,31.85,10.1,36.880001,72.16,243.41,79.52,22.24,3805.27,750.44,0.0272,0.03
12/31/14,12.77,11.31,36.13,42.68,29.55,9.8,37.080002,68.42,209.2,68.59,19.49,3769.4399,643.24,0.0809,0.04
9/30/14,12.65,11.24,35.19,45.75,41.34,10.11,39.66,65.51,213.42,67.08,22.6,3592.25,642.13,0.0971,0.02
